as_of,substance,rank,n_recent,n_baseline,ebgm,eb05,eb05_own,treescan_ri,credible_rise
2024-04-01,Mitragynine,5.0,24,24,1.695292283035669,1.1974060720383128,1.1477117418392766,1.3808340237503454,False
2024-04-01,Carfentanil,9.0,5,0,1.7634639746933019,1.0130000540549122,0.9709588825268461,30.674846625766875,False
2024-04-01,Xylazine,8.0,5,0,1.7634639746933019,1.0130000540549122,0.9709588825268461,2.12630236019562,False
2024-07-01,para-Fluorofentanyl,28.0,104,203,1.1436339997540312,0.949576235104006,0.8535843542187824,144.92753623188406,False
2024-07-01,Bromazolam,2.0,20,5,3.779409171295892,2.5526252081291245,2.2945828310630696,10000.0,True
2024-07-01,Mitragynine,9.0,23,25,1.8107568106642755,1.250075883595534,1.1237067756959038,1.0303967027305512,False
2024-07-01,Carfentanil,1.0,13,0,4.111732568708972,2.58690830356508,2.3254005040076335,10000.0,True
2024-07-01,Xylazine,5.0,7,1,2.525573413244105,1.430896193972338,1.2862482775327673,12.531328320802006,False
2024-10-01,para-Fluorofentanyl,28.0,98,206,1.0679109260000776,0.8814491718001485,0.7905874552796381,1.0,False
2024-10-01,Bromazolam,2.0,19,8,3.1647145174653497,2.119943104706119,1.901414823078718,10000.0,True
2024-10-01,Mitragynine,13.0,25,29,1.7332681584986585,1.2115852757990553,1.0866924095532893,1.0072522159548751,False
2024-10-01,Carfentanil,1.0,13,0,3.9842848767213668,2.5079891547040405,2.249460379267865,10000.0,True
2024-10-01,Xylazine,22.0,5,3,1.76884097550305,0.9521698952328478,0.8540181217628033,3.5373187124159884,False
2025-01-01,para-Fluorofentanyl,43.0,81,211,0.9391865224194156,0.7616550807396452,0.6509138278330012,1.0,False
2025-01-01,Bromazolam,4.0,17,14,2.186989467512488,1.4522063353908212,1.2410621686785732,277.77777777777777,False
2025-01-01,Mitragynine,30.0,21,38,1.2787127112164427,0.8763252992269622,0.7489114982846952,1.000100010001,False
2025-01-01,Carfentanil,1.0,16,4,3.2936867797080858,2.167068852181258,1.8519873029959255,10000.0,True
2025-01-01,Xylazine,10.0,7,3,2.0341470603706346,1.1816195890609775,1.009817507952196,1.2390038409119069,False
2025-04-01,para-Fluorofentanyl,46.0,62,179,0.8864603002792881,0.7003870238552158,0.5835545402013814,1.0,False
2025-04-01,Bromazolam,34.0,10,21,1.2615279325683681,0.786537194602663,0.6553338749706289,3.512469265893923,False
2025-04-01,Mitragynine,36.0,19,41,1.1369460364871566,0.7747344365511444,0.6454999569191917,1.000100010001,False
2025-04-01,Carfentanil,1.0,18,5,3.126231112390782,2.1143407568018833,1.7616446753297452,10000.0,True
2025-04-01,Xylazine,23.0,5,5,1.4806692845928557,0.8470061037804961,0.7057158717706292,1.000100010001,False
2025-07-01,para-Fluorofentanyl,82.0,21,191,0.36309782466421187,0.2507422864649388,0.209814027978332,1.0,False
2025-07-01,Bromazolam,68.0,7,24,0.841693378375413,0.5009135734128576,0.41915026156763363,1.0,False
2025-07-01,Mitragynine,11.0,23,39,1.3276059938333342,0.9282589084657635,0.7767407201960301,1.0,False
2025-07-01,Carfentanil,12.0,11,13,1.4254166304945453,0.9000344605605559,0.7531233070534928,117.6470588235294,False
2025-07-01,Xylazine,76.0,2,8,0.8975936907958716,0.4739648792471202,0.3966003577040305,1.0,False
2025-10-01,para-Fluorofentanyl,77.0,12,171,0.3101598117268694,0.19758606549818972,0.1549454858076893,1.0,False
2025-10-01,Bromazolam,63.0,7,26,0.8058470434229423,0.47753249153122845,0.3744773264622965,1.0,False
2025-10-01,Mitragynine,18.0,18,37,1.1328387801132218,0.7640730068857073,0.5991801785828978,1.0,False
2025-10-01,Carfentanil,5.0,12,13,1.626536976891041,1.036178864895085,0.8125634652173317,16.129032258064516,False
2025-10-01,Xylazine,68.0,2,8,0.8651677806789855,0.45362042442349654,0.3557256741924776,1.0,False
