as_of,node,level,n_leaves,window_q,observed,expected,n_study,llr,p_value,obs_exp,recurrence_interval,reference
2025-10-01,Trazodone,substance,1,6.0,21,14.686813186813188,33,2.436443684571959,0.9869,1.4298540965207631,1.013273887931908,deaths
2025-10-01,MDMB-4en-PINACA,substance,1,6.0,3,1.3351648351648353,3,2.4286725972130694,0.9941,2.2469135802469133,1.0059350165979277,deaths
2025-10-01,Promethazine,substance,1,6.0,3,1.3351648351648353,3,2.4286725972130694,0.9941,2.2469135802469133,1.0059350165979277,deaths
2025-10-01,Synthetic Cannabinoids,category,2,6.0,3,1.3351648351648353,3,2.4286725972130694,0.9941,2.2469135802469133,1.0059350165979277,deaths
2025-10-01,Hallucinogens,superclass,8,1.0,8,3.4680795395081114,55,2.3601944321859687,0.9954,2.3067521689928325,1.004621257785815,deaths
2025-10-01,Amphetamine,substance,1,2.0,17,10.355572998430143,79,2.114759792272917,0.9986,1.6416281361327976,1.001401962747847,deaths
2025-10-01,Ethanol,substance,1,2.0,161,138.81711145996863,1059,1.9544421984338634,0.9988,1.1597993814071572,1.001201441730076,deaths
2025-10-01,Benzodiazepines,category,19,6.0,256,233.65384615384616,525,1.9158071279346949,0.9991,1.0956378600823045,1.0009008107296566,deaths
2025-10-01,Fluoxetine,substance,1,6.0,11,7.120879120879121,16,1.9121817147416786,0.9992,1.544753086419753,1.00080064051241,deaths
2025-10-01,Supplement,category,21,2.0,166,143.92935635792782,1098,1.8690510492969956,0.9995,1.1533435860519397,1.0005002501250624,deaths
2025-10-01,Chlordiazepoxide,substance,1,6.0,8,4.895604395604396,11,1.7976399686024007,0.9997,1.6341189674523007,1.000300090027008,deaths
2025-10-01,Analgesics,category,4,5.0,5,2.558608058608059,7,1.7542313504767506,0.9997,1.9541875447387256,1.000300090027008,deaths
2025-10-01,MDMA,substance,1,1.0,7,3.278911564625851,52,1.7335640220646544,0.9997,2.134854771784232,1.000300090027008,deaths
2025-10-01,"1,1-Difluoroethane",substance,1,4.0,8,4.50654107796965,16,1.6926006796576076,0.9998,1.7751973989781697,1.0002000400080016,deaths
2025-10-01,Codeine,substance,1,6.0,29,22.6978021978022,51,1.5640699594582124,0.9999,1.2776567417090292,1.000100010001,deaths
2025-10-01,Antidepressants,category,16,6.0,70,60.52747252747253,136,1.3263299609464685,0.9999,1.1564996368917937,1.000100010001,deaths
2025-10-01,Hydrocodone,substance,1,6.0,56,47.620879120879124,107,1.3185331593413094,0.9999,1.1759547709703473,1.000100010001,deaths
