substance,as_of,nb_trend_z,nb_trend_slope,nb_trend_dispersion,nb_trend_own_z,nb_trend_own_slope,n_recent,n_baseline,emergent,ears_z,nb_trend_alarm,ears_alarm
Hydrocodone,2025-10-01,0.7534764944228187,0.0856583732955341,1.400508844172398,-0.37443899447522055,-0.04307714840299068,32,79,False,0.05036071175484055,False,False
Chlorcyclizine,2025-10-01,0.7391433791172833,0.5938784889144147,1.1127442341339422,0.5897521286661364,0.45224195644869564,1,1,False,0.3787845969249824,False,False
Clonazepam,2025-10-01,0.6334121946728971,0.13648406049919884,1.9954563578512676,0.030602891845794022,0.006583756276717992,11,33,False,-0.22738548199488162,False,False
Duloxetine,2025-10-01,0.6333547521120101,0.36553378566337186,2.2004757394064183,0.38703274838431373,0.23003956927107042,1,6,False,-0.30473767823301817,False,False
Cannabis,2025-10-01,0.5782383832757079,0.43197212623582015,1.0315879757751492,0.3989642056567739,0.2947492609193807,1,1,False,0.4088070328224183,False,False
Morphine,2025-10-01,0.5419753429382498,0.11569825911497429,4.2293896005687825,-0.06567740316740908,-0.01372233750434842,30,65,False,0.17863363768403956,False,False
Clozapine,2025-10-01,0.5136957518835819,0.27877050846575274,1.701343861171873,0.26435076333778407,0.14546176706784913,2,4,False,0.15286973795608605,False,False
Venlafaxine,2025-10-01,0.5127730109784892,0.17920408805086713,1.0717111005640763,0.13790176167943388,0.048303295198387095,3,6,False,0.1988800159160863,False,False
Gabapentin,2025-10-01,0.4890679587251219,0.17920408805086802,1.1781202598782514,0.13804477276114413,0.04830329519838708,3,6,False,0.19702890022193642,False,False
Bromazolam,2025-10-01,0.3908627452694276,0.09829266168086857,2.0382174149384142,-0.11981276360747414,-0.030729809217596434,7,26,False,-0.41782231160304156,False,False
Lorazepam,2025-10-01,0.37777243107769054,0.09161519405255368,2.0100192056791415,-0.1521778752884232,-0.03725540469260932,12,23,False,0.3760476984710475,False,False
MDMA,2025-10-01,0.3474014438972004,0.06051420471434011,1.7748731417673134,-0.39479726028022943,-0.0676553556292138,22,38,False,0.7445673365915259,False,False
Hydroxyzine,2025-10-01,0.3200903524161313,0.11327054060372108,2.201981621396297,-0.044694280184963804,-0.01609433035855823,2,16,False,-0.6927721243641299,False,False
Loperamide,2025-10-01,0.306480887076459,0.17920408791774495,1.0,0.08360442623132623,0.04830329516682863,1,2,False,0.135942789162998,False,False
Doxepin,2025-10-01,0.2997413509898046,0.15092984672488194,1.7329372734669732,0.0400353086903916,0.02069342037209382,1,6,False,-0.367402365806575,False,False
Bupropion,2025-10-01,0.25594859638857864,0.05947157792413171,1.0,-0.29891711412140975,-0.06867466134963293,7,12,False,0.6026598376681763,False,False
Dextromethorphan,2025-10-01,0.1504611791827511,0.08031130132613129,1.6684676088403159,-0.0887285942273331,-0.04830329519165661,2,4,False,0.14164187556448224,False,False
Pregabalin,2025-10-01,0.11732917352011774,0.08031130132613169,2.7438140720127775,-0.06881597931538318,-0.04830329519165656,1,5,False,-0.21813399122689345,False,False
