Substance Name,Synonyms,Chemical Name,Chemical Formula,NFLIS Detailed Drug Category,Date Added to NFLIS-Drug,Chemical Structures
FUB-AMB ,AMB-FUBINACA;MMB-FUBINACA,methyl 2-(1-(4-fluorobenzyl)-1H-indazole-3-carboxamido)-3-methylbutanoate,C21H22FN3O3,Synthetic Cannabinoids,12-2014,Structure Image cannot be exported
FUB-JWH-018,,(1-(4-fluorobenzyl)-1H-indol-3-yl)(naphthalen-1-yl)methanone,C26H18FNO,Synthetic Cannabinoids,06-2015,Structure Image cannot be exported
FUB-PB-22,,quinolin-8-yl-1-(4-fluorobenzyl)-1H-indole-3-carboxylate,C25H17FN2O2,Synthetic Cannabinoids,05-2014,Structure Image cannot be exported
Famciclovir,,,,Other substances,12-2000,Structure Image cannot be exported
Famotidine,,,,Other substances,11-1999,Structure Image cannot be exported
Febantel,,,,Other substances,05-2013,Structure Image cannot be exported
Febuxostat,,,,Other substances,12-2018,Structure Image cannot be exported
Felbamate,,,,Other,08-2008,Structure Image cannot be exported
Felodipine,,,,Other,01-2004,Structure Image cannot be exported
Fencamfamin,,,,Stimulants,10-1998,Structure Image cannot be exported
Fenethylline,,"1,3-dimethyl-7-2-1-methyl-2-phenylethylaminoethyl-3,7-dihydro-2,6(1H)-purinedione",C18H23N5O2,Phenethylamines (Amphetamines) (S),10-1998,Structure Image cannot be exported
Fenfluramine,,,,Stimulants,10-1998,Structure Image cannot be exported
Fenofibrate,,,,Other,03-2006,Structure Image cannot be exported
Fenoprofen,,,,Other,10-2003,Structure Image cannot be exported
Fenproporex,,,,Stimulants,10-1998,Structure Image cannot be exported
Fentanyl,,N-(1-phenethylpiperidin-4-yl)-N-phenyl-propionamide,C22H28N2O,Fentanyl and Fentanyl-related,10-1998,Structure Image cannot be exported
Fentanyl carbamate,ethylformate 4-ANPP;ethylformate fentanyl,ethyl (1-phenethylpiperidin-4-yl)(phenyl)carbamate,C22H28N2O2,Fentanyl and Fentanyl-related,12-2018,Structure Image cannot be exported
Ferrocene,,,,Other substances,05-2011,Structure Image cannot be exported
Ferrous Sulfate,,,,Other substances,08-2003,Structure Image cannot be exported
Fesoterodine Fumarate,,,,Other substances,10-2011,Structure Image cannot be exported
Fexofenadine,,,,Other substances,07-2000,Structure Image cannot be exported
Finasteride,,,,Other substances,01-2001,Structure Image cannot be exported
Fingolimod,,,,Other substances,05-2019,Structure Image cannot be exported
Firocoxib,,,,Other substances,01-2014,Structure Image cannot be exported
Flavoxate,,,,Other substances,12-1999,Structure Image cannot be exported
Flecainide,,,,Other,07-2003,Structure Image cannot be exported
Floxuridine,,,,Other,08-2008,Structure Image cannot be exported
Flualprazolam,,"8-chloro-6-(2-fluorophenyl)-1-methyl-4H-benzo[f][1,2,4]triazolo[4,3-a][1,4]diazepine",C17H12ClFN4,Benzodiazepines,06-2018,Structure Image cannot be exported
Flubromazepam,,"7-bromo-5-(2-fluorophenyl)-1,3-dihydro-1,4-benzodiazepin-2-one",C15H10BrFN2O,Benzodiazepines,06-2015,Structure Image cannot be exported
Flubromazolam,,"12-bromo-9-(2-fluorophenyl)-3-methyl-2,4,5,8-tetraazatricyclo[8.4.0.0²,⁶]tetradeca-1(10),3,5,8,11,13-hexaene",C17H12BrFN4,Benzodiazepines,02-2016,Structure Image cannot be exported
