LABTYPE,RPTAGGR,YYYY,PERIOD,DRUG_REPORTS,QUERY_RUN_DATE,SUBSTANCE_ID,SUBSTANCE_DESCRIPTION,BASE_ID,BASE_DESCRIPTION,DRUG_CATEGORY_CODE,DRUG_CATEGORY_DESCRIPTION,STATE,STATE_LONG_NAME,STATE_FIPS
"Local/Municipal,State,Federal,Private","DrugReport  ","2024","SA1 (JAN - JUN)","7","2026-08-18 18:32:21","3619","FLUBROMAZEPAM","3619","Flubromazepam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2016","SA2 (JUL - DEC)","14","2026-08-18 18:32:21","356","TEMAZEPAM","356","Temazepam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2024","SA1 (JAN - JUN)","6","2026-08-18 18:32:21","4322","FLUALPRAZOLAM","4322","Flualprazolam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2015","SA2 (JUL - DEC)","4","2026-08-18 18:32:21","356","TEMAZEPAM","356","Temazepam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2013","SA1 (JAN - JUN)","1","2026-08-18 18:32:21","290","FLURAZEPAM HYDROCHLORIDE","289","Flurazepam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2022","SA2 (JUL - DEC)","2","2026-08-18 18:32:21","4840","FLUOROFENTANYL, ISOMER UNDETERMINED","3965","Fluorofentanyl","33","Fentanyl and Fentanyl-related","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2025","SA1 (JAN - JUN)","1","2026-08-18 18:32:21","4322","FLUALPRAZOLAM","4322","Flualprazolam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2012","SA1 (JAN - JUN)","1","2026-08-18 18:32:21","315","OXAZEPAM","315","Oxazepam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2024","SA1 (JAN - JUN)","2","2026-08-18 18:32:21","269","CHLORDIAZEPOXIDE","269","Chlordiazepoxide","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2017","SA2 (JUL - DEC)","1","2026-08-18 18:32:21","333","TRIAZOLAM","333","Triazolam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2025","SA2 (JUL - DEC)","1","2026-08-18 18:32:21","4592","ADINAZOLAM","4592","Adinazolam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2017","SA2 (JUL - DEC)","1","2026-08-18 18:32:21","315","OXAZEPAM","315","Oxazepam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2024","SA2 (JUL - DEC)","4","2026-08-18 18:32:21","296","KETAZOLAM","296","Ketazolam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2024","SA1 (JAN - JUN)","2","2026-08-18 18:32:21","4982","PHENAZOLAM","4982","Phenazolam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2023","SA1 (JAN - JUN)","4","2026-08-18 18:32:21","4840","FLUOROFENTANYL, ISOMER UNDETERMINED","3965","Fluorofentanyl","33","Fentanyl and Fentanyl-related","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2018","SA1 (JAN - JUN)","1","2026-08-18 18:32:21","289","FLURAZEPAM","289","Flurazepam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2023","SA2 (JUL - DEC)","1","2026-08-18 18:32:21","4786","DESALKYLFLURAZEPAM, SALT UNDETERMINED","4376","Desalkylflurazepam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2014","SA2 (JUL - DEC)","4","2026-08-18 18:32:21","356","TEMAZEPAM","356","Temazepam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2020","SA2 (JUL - DEC)","1","2026-08-18 18:32:21","4226","MECLONAZEPAM","4226","Meclonazepam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2013","SA2 (JUL - DEC)","1","2026-08-18 18:32:21","3192","ETIZOLAM","3192","Etizolam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2021","SA1 (JAN - JUN)","1405","2026-08-18 18:32:21","328","ALPRAZOLAM","328","Alprazolam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2017","SA1 (JAN - JUN)","1369","2026-08-18 18:32:21","328","ALPRAZOLAM","328","Alprazolam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2021","SA1 (JAN - JUN)","65","2026-08-18 18:32:21","4322","FLUALPRAZOLAM","4322","Flualprazolam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2023","SA1 (JAN - JUN)","94","2026-08-18 18:32:21","4065","BROMAZOLAM","4065","Bromazolam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2021","SA1 (JAN - JUN)","138","2026-08-18 18:32:21","3764","CLONAZOLAM (CLONITRAZOLAM)","3764","Clonazolam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2023","SA1 (JAN - JUN)","116","2026-08-18 18:32:21","3965","FLUOROFENTANYL","3965","Fluorofentanyl","33","Fentanyl and Fentanyl-related","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2024","SA1 (JAN - JUN)","154","2026-08-18 18:32:21","1517","P-FLUOROFENTANYL","1517","para-Fluorofentanyl","33","Fentanyl and Fentanyl-related","CA","California","06"
