model,threshold,tp,fp,recall,fpr,precision
eb05,1.4096066788670172,15,13,1.0,0.0663265306122449,0.5357142857142857
eb05,1.4075105956659215,15,14,1.0,0.07142857142857142,0.5172413793103449
eb05,1.406086774463705,15,15,1.0,0.07653061224489796,0.5
eb05,1.3425624831717689,15,16,1.0,0.08163265306122448,0.4838709677419355
eb05,1.2986980852815306,15,17,1.0,0.08673469387755102,0.46875
eb05,1.2982685864120889,15,18,1.0,0.09183673469387756,0.45454545454545453
eb05,1.2754591056236333,15,19,1.0,0.09693877551020408,0.4411764705882353
eb05,1.264833435837225,15,20,1.0,0.10204081632653061,0.42857142857142855
eb05,1.2308635822534584,15,21,1.0,0.10714285714285714,0.4166666666666667
eb05,1.1968996635336713,15,22,1.0,0.11224489795918367,0.40540540540540543
eb05,1.1946826314719488,15,23,1.0,0.11734693877551021,0.39473684210526316
eb05,1.1723947946073088,15,24,1.0,0.12244897959183673,0.38461538461538464
eb05,1.1581641989485605,15,25,1.0,0.12755102040816327,0.375
eb05,1.1415155663258163,15,26,1.0,0.1326530612244898,0.36585365853658536
eb05,1.1404160146429836,15,28,1.0,0.14285714285714285,0.3488372093023256
eb05,1.1234522537798441,15,29,1.0,0.14795918367346939,0.3409090909090909
eb05,1.0961828856584739,15,30,1.0,0.15306122448979592,0.3333333333333333
eb05,1.0919187661704057,15,31,1.0,0.15816326530612246,0.32608695652173914
eb05,1.0822142880547256,15,32,1.0,0.16326530612244897,0.3191489361702128
eb05,1.0777994386618814,15,33,1.0,0.1683673469387755,0.3125
eb05,1.0769491978665993,15,35,1.0,0.17857142857142858,0.3
eb05,1.05655332944494,15,36,1.0,0.1836734693877551,0.29411764705882354
eb05,0.9993419534811832,15,37,1.0,0.18877551020408162,0.28846153846153844
eb05,0.993595435413968,15,38,1.0,0.19387755102040816,0.2830188679245283
eb05,0.9861715101247943,15,39,1.0,0.1989795918367347,0.2777777777777778
eb05,0.9779953660473426,15,40,1.0,0.20408163265306123,0.2727272727272727
eb05,0.9770049577972691,15,41,1.0,0.20918367346938777,0.26785714285714285
eb05,0.9757749921187259,15,42,1.0,0.21428571428571427,0.2631578947368421
eb05,0.9623883096640111,15,43,1.0,0.2193877551020408,0.25862068965517243
eb05,0.9499439642709933,15,48,1.0,0.24489795918367346,0.23809523809523808
eb05,0.9468783351480139,15,49,1.0,0.25,0.234375
