substance,n_recent,ebgm,eb05,as_of
Hydroxyzine,4,0.7433723346662785,0.4236158873740888,2023-10-01
Morphine,23,0.5489701256934838,0.3994637752206903,2023-10-01
GHB,2,0.7324465430204634,0.3875246440928374,2023-10-01
Lamotrigine,2,0.7324465430204634,0.3875246440928374,2023-10-01
Fluoxetine,3,0.692406385009439,0.38147670285201907,2023-10-01
Pentobarbital,1,0.74595571725913,0.3755092945041349,2023-10-01
Oxymorphone,2,0.6976144303818903,0.3690955830481906,2023-10-01
Zolpidem,1,0.704577892463893,0.35467996450842726,2023-10-01
Chlorcyclizine,1,0.704577892463893,0.35467996450842726,2023-10-01
Paroxetine,1,0.704577892463893,0.35467996450842726,2023-10-01
Doxepin,1,0.704577892463893,0.35467996450842726,2023-10-01
Benztropine,1,0.6675492393813658,0.33603997948820663,2023-10-01
Dextromethorphan,1,0.6675492393813658,0.33603997948820663,2023-10-01
Doxylamine,2,0.6105139186115702,0.3230122270057084,2023-10-01
Duloxetine,1,0.6342182913887954,0.3192613953494161,2023-10-01
Flubromazolam,1,0.6342182913887954,0.3192613953494161,2023-10-01
Clonazepam,9,0.4988270054815257,0.31774385437487007,2023-10-01
Etizolam,3,0.5731407582609771,0.3157680972692404,2023-10-01
Chlordiazepoxide,1,0.6040575060405591,0.3040786506290985,2023-10-01
Gabapentin,3,0.5361971967266613,0.2954142872079288,2023-10-01
Amlodipine,1,0.5766351361682892,0.29027440658871073,2023-10-01
Citalopram,3,0.4749663450017168,0.261679555792166,2023-10-01
Olanzapine,3,0.4617830562694465,0.2544163103524751,2023-10-01
Bromazolam,13,2.581272113356214,1.7361497516371498,2024-01-01
Acetyl fentanyl,60,1.9758735568526298,1.6057486850169371,2024-01-01
Methadone,22,1.5085650423285335,1.0917501947817714,2024-01-01
Methamphetamine,1722,1.0506733937443302,1.0097401733404694,2024-01-01
Fentanyl,1856,1.0438811687737326,1.0046810651333418,2024-01-01
PCP,119,1.1304398477258641,0.9733288004811739,2024-01-01
Ethanol,392,1.0340412062772653,0.951484827609023,2024-01-01
Cocaine,523,1.0142528771943857,0.9437175058384937,2024-01-01
Codeine,17,1.3032527077636928,0.9105742790881464,2024-01-01
Mitragynine,17,1.2344993691705142,0.8625367639144285,2024-01-01
Quetiapine,19,1.1875068737648578,0.8425604053425436,2024-01-01
Ketamine,17,1.1726367022041255,0.8193137166575009,2024-01-01
Cyclobenzaprine,7,1.3069453850729222,0.8040760278611606,2024-01-01
