zip,mean_log_rr,max_log_rr,min_p,n_cells,mean_rr
90012,0.2847835454490586,0.3625540436065706,0.002,34,1.3294742262279562
90017,0.2792601492304006,0.3222255989513352,0.002,8,1.3221512557650525
90262,0.27715104857412287,0.4576198555544164,0.002,50,1.3193656442839257
90280,0.2733291973017067,0.5275299258556227,0.002,80,1.3143328484421122
90746,0.2694827211114714,0.379398182686872,0.02,50,1.3092870090064175
90031,0.2685981634469248,0.3343717645403004,0.002,39,1.3081293812172579
90747,0.25950539060132366,0.26966753838101454,0.06,6,1.296288771468817
90056,0.2577524603450473,0.3628879678227972,0.002,15,1.2940184580922873
90018,0.25449229771037774,0.365193004245838,0.002,30,1.2898066168408961
90008,0.2538851630740372,0.43455044059588444,0.002,43,1.289023768240928
90042,0.2496528699728671,0.3840064084783572,0.018,47,1.28357977026311
90502,0.24917227757383245,0.4875880261040839,0.01,20,1.282963039791826
90032,0.24761787755997583,0.3058869295473352,0.002,56,1.280970351143848
90506,0.23350883163201294,0.2573741428553027,0.11,3,1.2630239824046925
90221,0.21959759964985465,0.3151986137009599,0.028,52,1.24557540974729
90006,0.1992198685385123,0.26965438864279756,0.002,23,1.2204502750207202
90057,0.19221739126878484,0.2336791203924995,0.002,9,1.2119339521891541
90501,0.18841740681448282,0.478292345681409,0.014,64,1.2073373610298535
90712,0.16462831169521808,0.4544917453003223,0.004,45,1.1789548335402074
90041,0.16278320484611167,0.4140634553402909,0.024,38,1.176781541496639
90805,0.15791705163898623,0.3436975688835173,0.026,79,1.1710690524202962
90201,0.15706464629975972,0.4215879712531323,0.002,63,1.1700712522329302
90026,0.15135355126947353,0.26249751824559153,0.002,44,1.1634079097216643
91765,0.14389489485326296,0.6457210464466141,0.028,186,1.1547627306400547
93523,0.13273264047522013,0.25963095537555514,0.164,102,1.1419446477351747
90065,0.11938068025634557,0.24291883205562037,0.002,53,1.1267987867032767
90504,0.11880983493397569,0.2820257605814964,0.07,39,1.1261557424435011
90808,0.11810596693941686,0.410840273340805,0.012,71,1.1253633563598227
91206,0.11244454140086232,0.4738280491027722,0.02,63,1.1190101964539874
93534,0.10883545107313104,0.26197191940079056,0.132,220,1.114978866669849
90260,0.10526776280404666,0.2508456100381653,0.116,31,1.111008057164037
91803,0.09961851401091772,0.19943748748904255,0.076,33,1.104749391263259
90277,0.0995575470927869,0.20856149521174716,0.244,40,1.1046820401506827
91792,0.08732027259239017,0.3661074796162427,0.138,42,1.0912461199810033
90022,0.07141321566360971,0.2487817466584259,0.018,46,1.0740249381151552
91789,0.06822971597255353,0.5947963560703338,0.054,160,1.0706112167300443
90503,0.062320378495511405,0.17768250410778563,0.234,60,1.064303269992964
91801,0.05902129552047679,0.25464654745669657,0.062,44,1.0607978307415515
90016,0.05535713522117112,0.26711851234609885,0.004,38,1.0569180099281499
90005,0.051602845495248094,0.17080776343872417,0.012,17,1.052957472656406
90045,0.04909536865341665,0.3286195862169987,0.03,116,1.0503205136167924
90723,0.025325203995017843,0.13011661112097794,0.218,52,1.025648611321106
91775,0.023470013099593186,0.22645500142055752,0.154,30,1.0237476012689795
91767,0.007720203015403524,0.019965125026308428,0.484,55,1.0077500806202706
90020,0.007567961504362796,0.11969247818847162,0.072,11,1.0075966709032056
91011,0.0068643958095663885,0.5786057595126355,0.014,189,1.006888009775429
93550,0.00650752377157826,0.17710295341129845,0.266,510,1.0065287437091741
91023,-0.0031382021310732027,0.03431399795234835,0.398,7,0.996866716878274
91754,-0.004838617931289563,0.2132898901819802,0.04,48,0.9951730693228023
93551,-0.011105919770565534,0.18054495686737004,0.256,649,0.988955523285502
90261,-0.02102094491920914,-0.02102094491920914,0.54,1,0.9791984551221438
90278,-0.02311976110774632,0.024930458065759442,0.47,33,0.9771454527436843
90230,-0.02322156533744194,0.1755585588274977,0.14,44,0.9770459802670124
90254,-0.024401490369906242,0.0198796414239375,0.42,16,0.9758938191225868
90019,-0.037948149690139696,0.17462930849661618,0.018,38,0.9627628591496187
90040,-0.04595124107521283,0.28197336331816114,0.008,59,0.9550885301452101
91766,-0.054338849369533,0.012598283456249249,0.478,99,0.9471111241152458
90004,-0.06148939879832752,0.09335574337113961,0.134,30,0.940362914663491
90713,-0.06666529615935853,0.1358641081634704,0.242,33,0.9355082671516561
90029,-0.06693410646233666,0.010119673516479466,0.452,17,0.9352568266873323
90245,-0.06819454168827203,0.11377400651946123,0.322,56,0.9340787386454814
93510,-0.07592179381040631,0.05631374501252484,0.366,114,0.9268886921577252
90039,-0.07751583862394497,0.12123659601730896,0.066,43,0.9254123670220855
90266,-0.08737920681083872,-0.03335129661689917,0.548,42,0.9163295513348955
91768,-0.09316338724308665,0.012055789283396567,0.48,81,0.9110446350638798
93535,-0.10798178110063943,0.33692229888669445,0.104,833,0.8976439503662524
91709,-0.10914202553376384,-0.10408120791701014,0.612,2,0.8966030679257075
90631,-0.10920221071647009,0.3625925859080543,0.156,61,0.8965491073300799
91711,-0.11667075655119018,0.007814564746808195,0.496,154,0.8898781314817835
90242,-0.1271957020599381,0.0647432465068869,0.37,48,0.8805613280678126
91205,-0.13190823191998063,-0.013064028655558335,0.518,21,0.8764214189000473
91750,-0.16745614016686525,-0.001002340040005656,0.514,208,0.8458137137236634
90094,-0.18391681026735507,0.013266050452570344,0.504,11,0.8320050152225686
90232,-0.1850157189490871,-0.047153972261337884,0.626,25,0.831091219868878
90241,-0.19272144008582778,0.012544296626376461,0.454,50,0.8247116737581287
93552,-0.1977931727529983,0.02711985825464902,0.444,482,0.8205395455239783
90706,-0.20123252991639365,0.019782884110611132,0.462,62,0.8177222645551478
93536,-0.2226302520052078,0.07885609385320658,0.338,717,0.8004107448557084
