substance,n_recent,n_baseline,expected,share_recent_pct,share_baseline_pct,count_ratio,ebgm,eb05,eb95,n_total,first_seen,last_seen,date_added,date_added_censored,category
Methadone,12,34,13.3312693498452,0.557361820715281,0.6191950464396285,0.7058823529411765,0.8989824488197866,0.6062961630688463,1.293657936032747,365,2012-01-01,2025-10-01,1998-10-01,True,Narcotic Analgesics
Fluoxetine,5,11,4.313057730832271,0.2322340919647004,0.20032780914223275,0.9090909090909091,0.9924522165269383,0.6009738202378542,1.5630882276805484,67,2012-01-01,2025-07-01,1998-10-01,True,Antidepressants
Nortriptyline,2,2,0.7841923146967765,0.09289363678588017,0.0364232380258605,2.0,1.0528820660268927,0.586796759173654,1.7735136266898393,11,2014-10-01,2025-07-01,1998-10-01,True,Antidepressants
Quetiapine,10,29,11.37078856310326,0.4644681839294008,0.5281369513749772,0.6896551724137931,0.8864386417445804,0.5838790866714857,1.3015084573859392,147,2012-07-01,2025-10-01,2001-01-01,False,Other substances
Clonazepam,11,33,12.939173192496813,0.5109150023223409,0.6009834274266982,0.6666666666666666,0.8673808365739099,0.5784082771348008,1.2602735592160683,137,2014-01-01,2025-10-01,1998-10-01,True,Benzodiazepines
Olanzapine,4,9,3.528865416135494,0.18578727357176034,0.16390457111637224,0.8888888888888888,0.9724624235914588,0.5750822497391113,1.5615829768284386,66,2014-04-01,2025-10-01,1999-11-01,False,Other substances
Gabapentin,3,6,2.3525769440903295,0.13934045517882024,0.1092697140775815,1.0,0.987038273095897,0.5679712191038847,1.6204916645708387,64,2013-10-01,2025-10-01,1999-11-01,False,Other substances
Zolpidem,2,3,1.1762884720451647,0.09289363678588017,0.05463485703879075,1.3333333333333333,1.0055554550948624,0.5604204889211047,1.6937949268455772,40,2012-10-01,2025-07-01,1998-10-01,True,Depressants and Tranquilizers
Amlodipine,2,3,1.1762884720451647,0.09289363678588017,0.05463485703879075,1.3333333333333333,1.0055554550948624,0.5604204889211047,1.6937949268455772,17,2014-07-01,2025-04-01,1999-12-01,False,Other substances
Acetaminophen,2,3,1.1762884720451647,0.09289363678588017,0.05463485703879075,1.3333333333333333,1.0055554550948624,0.5604204889211047,1.6937949268455772,22,2012-01-01,2025-07-01,1998-10-01,True,Analgesics
Butalbital,1,0,0.0,0.046446818392940084,0.0,,1.0298614864840263,0.5525145617762427,1.7879270616507135,5,2015-10-01,2025-01-01,1998-10-01,True,Depressants and Tranquilizers
Lacosamide,1,0,0.0,0.046446818392940084,0.0,,1.0298614864840263,0.5525145617762427,1.7879270616507135,2,2022-10-01,2025-07-01,2010-06-01,False,Other
Prochlorperazine,1,0,0.0,0.046446818392940084,0.0,,1.0298614864840263,0.5525145617762427,1.7879270616507135,1,2025-04-01,2025-04-01,1998-10-01,True,Depressants and Tranquilizers
Ziprasidone,1,0,0.0,0.046446818392940084,0.0,,1.0298614864840263,0.5525145617762427,1.7879270616507135,2,2019-04-01,2025-07-01,2003-07-01,False,Other
Rosuvastatin,1,0,0.0,0.046446818392940084,0.0,,1.0298614864840263,0.5525145617762427,1.7879270616507135,1,2025-10-01,2025-10-01,2006-03-01,False,Other substances
Clomipramine,1,0,0.0,0.046446818392940084,0.0,,1.0298614864840263,0.5525145617762427,1.7879270616507135,1,2025-10-01,2025-10-01,2001-04-01,False,Other substances
Desloratadine,1,0,0.0,0.046446818392940084,0.0,,1.0298614864840263,0.5525145617762427,1.7879270616507135,5,2014-04-01,2025-07-01,2023-10-01,False,Other substances
Amitriptyline,1,0,0.0,0.046446818392940084,0.0,,1.0298614864840263,0.5525145617762427,1.7879270616507135,27,2013-04-01,2025-07-01,1998-10-01,True,Antidepressants
Aripiprazole,1,0,0.0,0.046446818392940084,0.0,,1.0298614864840263,0.5525145617762427,1.7879270616507135,5,2016-07-01,2025-07-01,2004-08-01,False,Other substances
Atenolol,1,0,0.0,0.046446818392940084,0.0,,1.0298614864840263,0.5525145617762427,1.7879270616507135,2,2021-01-01,2025-04-01,1999-11-01,False,Other substances
Dextromethorphan,2,4,1.568384629393553,0.09289363678588017,0.072846476051721,1.0,0.9623004501212633,0.5363134236043516,1.6209345911835817,18,2017-07-01,2025-04-01,1998-10-01,True,Other substances
Tizanidine,1,1,0.39209615734838826,0.046446818392940084,0.01821161901293025,2.0,0.978996962647558,0.5252260472854161,1.6996219256312295,5,2017-01-01,2025-04-01,2000-07-01,False,Other substances
Tramadol,10,35,13.72336550719359,0.4644681839294008,0.6374066654525588,0.5714285714285714,0.7883941886499019,0.5192992014653744,1.1575552508206601,139,2012-04-01,2025-10-01,1999-11-01,False,Narcotic Analgesics
Levamisole,2,5,1.9604807867419414,0.09289363678588017,0.09105809506465125,0.8,0.9226132880067903,0.5141948038073103,1.5540840624436718,12,2021-10-01,2025-10-01,2006-07-01,False,Other substances
Citalopram,5,17,6.6656346749226,0.2322340919647004,0.30959752321981426,0.5882352941176471,0.8281713335542855,0.5014944617478092,1.3043498119348171,97,2012-01-01,2025-10-01,2000-07-01,False,Antidepressants
MDMB-4en-PINACA,1,2,0.7841923146967765,0.046446818392940084,0.0364232380258605,1.0,0.9329203309510105,0.5005062084487804,1.619628977257926,3,2024-07-01,2025-10-01,2019-06-01,False,Synthetic Cannabinoids
Loperamide,1,2,0.7841923146967765,0.046446818392940084,0.0364232380258605,1.0,0.9329203309510105,0.5005062084487804,1.619628977257926,6,2013-04-01,2025-10-01,1998-10-01,True,Other substances
Cannabis,1,2,0.7841923146967765,0.046446818392940084,0.0364232380258605,1.0,0.9329203309510105,0.5005062084487804,1.619628977257926,17,2012-01-01,2025-10-01,,False,Supplement
Salicylate,1,2,0.7841923146967765,0.046446818392940084,0.0364232380258605,1.0,0.9329203309510105,0.5005062084487804,1.619628977257926,6,2015-10-01,2025-01-01,,False,Supplement
Promethazine,1,2,0.7841923146967765,0.046446818392940084,0.0364232380258605,1.0,0.9329203309510105,0.5005062084487804,1.619628977257926,14,2014-01-01,2025-04-01,1998-10-01,True,Other substances
MDA,1,2,0.7841923146967765,0.046446818392940084,0.0364232380258605,1.0,0.9329203309510105,0.5005062084487804,1.619628977257926,9,2016-07-01,2025-04-01,1998-10-01,True,Phenethylamines (Amphetamines) (H)
Lamotrigine,1,2,0.7841923146967765,0.046446818392940084,0.0364232380258605,1.0,0.9329203309510105,0.5005062084487804,1.619628977257926,24,2013-04-01,2025-07-01,2001-01-01,False,Other substances
Valproic Acid,1,2,0.7841923146967765,0.046446818392940084,0.0364232380258605,1.0,0.9329203309510105,0.5005062084487804,1.619628977257926,5,2018-07-01,2025-04-01,1999-11-01,False,Other substances
GHB,1,2,0.7841923146967765,0.046446818392940084,0.0364232380258605,1.0,0.9329203309510105,0.5005062084487804,1.619628977257926,20,2014-04-01,2025-01-01,,False,Supplement
Venlafaxine,2,6,2.3525769440903295,0.09289363678588017,0.1092697140775815,0.6666666666666666,0.8860700187258544,0.49382835187924073,1.4925292234690657,26,2014-01-01,2025-04-01,1999-11-01,False,Antidepressants
Mirtazapine,3,10,3.9209615734838827,0.13934045517882024,0.1821161901293025,0.6,0.8520455127796557,0.4902923643553973,1.3988643489615435,40,2012-10-01,2025-07-01,2000-07-01,False,Antidepressants
Bromazolam,7,26,10.194500091058094,0.3251277287505806,0.4735020943361865,0.5384615384615384,0.7761446130300349,0.4887981302781326,1.183355670273634,35,2021-04-01,2025-10-01,2017-09-01,False,Benzodiazepines
Clozapine,1,3,1.1762884720451647,0.046446818392940084,0.05463485703879075,0.6666666666666666,0.8909859501137444,0.47800866255961316,1.5468273283988312,15,2013-10-01,2025-04-01,2003-07-01,False,Other substances
Pregabalin,1,3,1.1762884720451647,0.046446818392940084,0.05463485703879075,0.6666666666666666,0.8909859501137444,0.47800866255961316,1.5468273283988312,5,2019-10-01,2025-04-01,2006-03-01,False,Depressants and Tranquilizers
Xylazine,2,7,2.744673101438718,0.09289363678588017,0.12748133309051174,0.5714285714285714,0.852311301183824,0.4750137982965451,1.43566478678406,9,2023-07-01,2025-01-01,2000-07-01,False,Depressants and Tranquilizers
Hydromorphone,4,15,5.881442360225824,0.18578727357176034,0.27317428519395376,0.5333333333333333,0.802089850443929,0.47432952111678206,1.2879982053335441,69,2012-01-01,2025-10-01,1998-10-01,True,Narcotic Analgesics
Dothiepin,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2014-01-01,2014-01-01,2008-06-01,False,Antidepressants
Cerberin,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2017-01-01,2017-01-01,,False,Supplement
Anabasine,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2018-04-01,2018-04-01,,False,Supplement
Chloroform,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2012-07-01,2012-07-01,1998-10-01,True,Other substances
Carbidopa,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2022-10-01,2022-10-01,1999-11-01,False,Other substances
2-Methyl AP-237,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2021-04-01,2021-04-01,2019-12-01,False,Narcotic Analgesics
25B-NBOH,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2022-04-01,2022-04-01,2017-05-01,False,Phenethylamines (2C Series) (H)
Amyl nitrite,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2016-01-01,2016-01-01,,False,Supplement
