as_of,substance,rank,n_recent,n_baseline,ebgm,eb05
2022-01-01,Carfentanil,,0,0,0.6700223255034303,0.14512817434374825
2022-04-01,para-Fluorofentanyl,1.0,96,24,5.195504331442258,4.387494786629684
2022-04-01,Bromazolam,,0,1,0.5484384781433079,0.15274579106451522
2022-04-01,Mitragynine,16.0,7,8,1.0872971459853638,0.6096972968106114
2022-04-01,Carfentanil,,0,0,0.6730435597930859,0.18744959564016814
2022-07-01,para-Fluorofentanyl,1.0,109,41,3.7210150932881625,3.1755148364532695
2022-07-01,Bromazolam,61.0,1,1,0.8401677219699385,0.3093704292995236
2022-07-01,Mitragynine,21.0,9,11,1.0838405471754995,0.6468663380090565
2022-07-01,Carfentanil,,0,0,0.6963449875045696,0.20599260878311546
2022-10-01,para-Fluorofentanyl,1.0,127,52,3.8220847611266677,3.2989050427280637
2022-10-01,Bromazolam,63.0,1,1,0.8841930671674613,0.2946076582942732
2022-10-01,Mitragynine,4.0,17,9,2.3914544181920885,1.610124895400349
2022-10-01,Carfentanil,,0,0,0.6904068680387273,0.16920821840601655
2023-01-01,para-Fluorofentanyl,1.0,148,67,3.6211866551158365,3.1588776864517167
2023-01-01,Bromazolam,63.0,1,1,0.8767176923371689,0.2551388071054867
2023-01-01,Mitragynine,3.0,21,8,3.392128475520614,2.3614873241411174
2023-01-01,Carfentanil,,0,0,0.6174704659574389,0.1118997028413133
2023-04-01,para-Fluorofentanyl,4.0,99,120,1.4570727261166938,1.2338609200020483
2023-04-01,Bromazolam,63.0,1,1,0.7927908456813327,0.29314482201738784
2023-04-01,Mitragynine,3.0,17,10,2.140203245554442,1.4495378843695659
2023-04-01,Carfentanil,,0,0,0.631281326323943,0.18811995102060367
2023-07-01,para-Fluorofentanyl,8.0,84,150,1.0614597658794056,0.8867633028473565
2023-07-01,Bromazolam,15.0,4,2,1.3196328330173013,0.6743654654228597
2023-07-01,Mitragynine,2.0,16,14,1.6555604335778025,1.1160344496773733
2023-07-01,Carfentanil,,0,0,0.673836790264108,0.22991929282060874
2023-07-01,Xylazine,50.0,1,0,0.9188758148992723,0.3684100609095272
2023-10-01,para-Fluorofentanyl,15.0,73,179,0.8001871543372583,0.6622241089088998
2023-10-01,Bromazolam,6.0,7,2,1.5292056753879981,0.9394102865417103
2023-10-01,Mitragynine,20.0,12,22,0.9535131926014867,0.6334013593173883
2023-10-01,Carfentanil,,0,0,0.7652867969920052,0.36165216346338686
2023-10-01,Xylazine,17.0,3,0,1.1859983499538798,0.6534179203477065
2024-01-01,para-Fluorofentanyl,65.0,59,208,0.6069468556886758,0.4924475066765407
2024-01-01,Bromazolam,1.0,13,2,2.581272113356214,1.7361497516371498
2024-01-01,Mitragynine,10.0,17,25,1.2344993691705142,0.8625367639144285
2024-01-01,Carfentanil,19.0,3,0,1.371945725005074,0.7579114670009753
2024-01-01,Xylazine,18.0,3,0,1.371945725005074,0.7579114670009753
2024-04-01,para-Fluorofentanyl,39.0,75,195,0.8073800454794019,0.6676204288251979
2024-04-01,Bromazolam,1.0,20,1,6.8284145433475025,4.7807619107692165
2024-04-01,Mitragynine,3.0,23,24,1.7947746377426808,1.284537870544247
2024-04-01,Carfentanil,4.0,4,0,2.3731205677509792,1.2156498605051893
2024-04-01,Xylazine,5.0,4,0,2.3731205677509792,1.2156498605051893
2024-07-01,para-Fluorofentanyl,24.0,102,193,1.1733832529023218,0.9958105596930357
2024-07-01,Bromazolam,2.0,20,5,5.480446597016742,3.8074290407865923
2024-07-01,Mitragynine,13.0,22,25,1.8374285533296566,1.2972082391649329
2024-07-01,Carfentanil,1.0,12,0,7.965653077112022,5.023073303558021
2024-07-01,Xylazine,4.0,6,1,3.58695588513776,1.930342069185801
2024-10-01,para-Fluorofentanyl,28.0,96,200,1.0705409422606407,0.9042520632100065
