substance,n,case_frac,out_of_scope,mean_nnd_m,null_nnd_m,localization,z,p_clustered,pct_at_facility,top_zip,top_zip_pct
Lorazepam,35,0.0046168051708217915,False,4624.524563786748,5103.962254107569,1.1036728605736363,-0.558607030677788,0.289,8.571428571428571,93534,8.571428571428571
Morphine,88,0.011607967286637646,False,2794.3699565683764,2882.1443824447483,1.0314111686142529,-0.27323326381941987,0.393,12.5,91731,3.409090909090909
Hydrocodone,106,0.013982324231631711,False,2488.1037189983253,2560.7424092298047,1.029194397997493,-0.276349128225684,0.399,10.377358490566039,90003,4.716981132075472
"1,1-Difluoroethane",16,0.00211053950666139,False,7587.0628765022975,8249.809596800826,1.0873522114006864,-0.3182036402405915,0.414,0.0,90810,6.25
Hydroxyzine,18,0.002374356944994064,False,7399.2152071940445,7806.017290011315,1.0549790851361842,-0.21863032072145358,0.437,0.0,91605,11.11111111111111
Bupropion,19,0.002506265664160401,False,7327.661589328862,7458.736638825956,1.017887705088343,-0.07769368800645543,0.471,10.526315789473683,93534,10.526315789473685
Clonazepam,44,0.005803983643318823,False,4392.520408529585,4420.919116832435,1.0064652421984663,-0.04372158951494395,0.484,4.545454545454546,90010,4.545454545454546
Xylazine,9,0.001187178472497032,False,11671.808725877147,11360.383534848228,0.9733181721579733,0.08174475593739981,0.565,11.11111111111111,90061,11.11111111111111
Mirtazapine,13,0.0017148133491623797,False,9738.612486306474,9360.892229212906,0.9612141608853743,0.15328729741864663,0.576,7.6923076923076925,91356,15.384615384615385
Temazepam,12,0.0015829046299960427,False,10453.117728845502,9780.822877814655,0.9356847527723101,0.2385389835419529,0.595,0.0,91502,8.333333333333334
Trazodone,33,0.004352987732489117,False,5528.927517566677,5289.761123439986,0.9567427148634514,0.2620306187812831,0.602,9.090909090909092,90403,6.0606060606060606
Carfentanil,22,0.0029019918216594115,False,7219.403958934375,6832.545772628826,0.9464141100143326,0.26340083794741637,0.605,0.0,91601,18.181818181818183
Fluoxetine,16,0.00211053950666139,False,8711.228679145184,8140.4458107547825,0.934477340750236,0.2782608071681029,0.613,0.0,90241,6.25
Quetiapine,38,0.005012531328320802,False,5091.179056591493,4826.545604852018,0.9480211855057707,0.33636938958065854,0.641,5.263157894736842,90036,10.526315789473685
Venlafaxine,8,0.001055269753330695,False,13478.536351274892,12145.442659155698,0.9010950701636754,0.32116039708026617,0.646,12.5,93510,12.5
Acetyl fentanyl,106,0.013982324231631711,False,2671.8758962757297,2576.0472322291002,0.9641343132066115,0.3673146837487962,0.663,14.150943396226415,90012,5.660377358490566
Olanzapine,13,0.0017148133491623797,False,10906.971318022239,9476.39469778782,0.8688383256431058,0.5596615062906115,0.706,0.0,93510,7.6923076923076925
Bromazolam,33,0.004352987732489117,False,5952.453523129024,5336.858557983094,0.896581306724369,0.6615852911381184,0.747,3.0303030303030303,90710,6.0606060606060606
Methadone,44,0.005803983643318823,False,4938.040386400632,4382.843878903511,0.8875674429423192,0.8284350245524303,0.789,11.363636363636363,90033,6.818181818181818
Tramadol,44,0.005803983643318823,False,5086.683554514468,4376.88630402205,0.8604597194054922,1.0525778975103584,0.853,6.8181818181818175,91321,6.818181818181818
Diphenhydramine,36,0.004748713889988128,False,6072.841752975813,5010.653170970731,0.8250920038407737,1.2933156759106341,0.891,11.11111111111111,90301,5.555555555555555
Gabapentin,9,0.001187178472497032,False,16371.244576721281,11456.76193573764,0.6998100774835606,1.312753949353874,0.895,0.0,90731,11.11111111111111
Cyclobenzaprine,12,0.0015829046299960427,False,13538.561875776291,9809.942044524876,0.7245926217671019,1.3182032570521502,0.898,8.333333333333332,90220,16.666666666666668
Heroin,359,0.04735523018071495,False,1460.3950226023435,1312.9955160979357,0.8990687422080158,1.5856330267992418,0.922,12.534818941504177,90013,4.456824512534819
Mitragynine,54,0.007123070834982192,False,4736.283995482532,3882.7745247381927,0.8197934347774718,1.5753147703387476,0.936,3.7037037037037033,90014,5.555555555555555
Sertraline,11,0.0014509959108297058,False,15489.147753160645,10245.655719302165,0.6614731735134675,1.7305784748030586,0.949,9.090909090909092,90650,9.090909090909092
Ethanol,1052,0.13876797256298642,False,821.0573312457115,733.9812696856767,0.8939464295045967,2.533879151729793,0.987,11.596958174904943,90057,4.182509505703422
Diazepam,54,0.007123070834982192,False,5120.242525921156,3882.8388067392893,0.7583310335560225,2.357585343170993,0.989,5.555555555555555,91406,3.7037037037037037
Alprazolam,320,0.04221079013322781,False,1675.637057205063,1390.913739806198,0.8300805558252697,2.748862482847804,0.99,8.75,90057,4.6875
Oxycodone,102,0.013454689354966362,False,3339.306075041152,2637.0235164993574,0.7896920669264677,2.6115455887840313,0.992,9.803921568627452,90016,2.9411764705882355
Citalopram,22,0.0029019918216594115,False,10505.490224559258,6811.613591224602,0.6483860767678142,2.6534722906756656,0.996,9.090909090909092,90017,9.090909090909092
