zipcode,year,population
90242,2014,43199.0
90242,2015,43160.0
90242,2016,41982.0
90242,2017,42922.0
90242,2018,42553.0
90242,2019,42694.0
90242,2020,41703.0
90242,2021,43002.0
90242,2022,41685.0
90242,2023,40983.0
90242,2024,40767.0
90245,2013,16760.0
90245,2014,16839.0
90245,2015,16929.0
90245,2016,16901.0
90245,2017,16929.0
90245,2018,16850.0
90245,2019,16731.0
90245,2020,16575.0
90245,2021,17243.0
90245,2022,17081.0
90245,2023,16863.0
90245,2024,16769.0
90247,2013,47361.0
90247,2014,47374.0
90247,2015,48032.0
90247,2016,47706.0
90247,2017,47969.0
90247,2018,47531.0
90247,2019,48293.0
90247,2020,47507.0
90247,2021,48646.0
90247,2022,47682.0
90247,2023,47303.0
90247,2024,47053.0
90248,2013,9822.0
90248,2014,9936.0
90248,2015,10166.0
90248,2016,10592.0
90248,2017,10899.0
90248,2018,11512.0
90248,2019,11607.0
90248,2020,11425.0
90248,2021,11472.0
90248,2022,11453.0
90248,2023,11144.0
90248,2024,11235.0
90249,2013,26800.0
90249,2014,27451.0
90249,2015,26627.0
90249,2016,26795.0
90249,2017,26286.0
90249,2018,26587.0
90249,2019,26429.0
90249,2020,26192.0
90249,2021,25929.0
90249,2022,25929.0
90249,2023,25967.0
90249,2024,26290.0
90250,2013,93994.0
90250,2014,95223.0
90250,2015,95939.0
90250,2016,96987.0
90250,2017,97371.0
90250,2018,96836.0
90250,2019,97072.0
90250,2020,95115.0
90250,2021,96730.0
90250,2022,96200.0
90250,2023,94991.0
90250,2024,93826.0
90254,2013,19605.0
90254,2014,19725.0
90254,2015,19747.0
90254,2016,19726.0
90254,2017,19750.0
90254,2018,19650.0
90254,2019,19539.0
90254,2020,19147.0
90254,2021,19787.0
90254,2022,19551.0
90254,2023,19248.0
90254,2024,19063.0
90255,2013,76620.0
90255,2014,76206.0
90255,2015,76180.0
90255,2016,75770.0
90255,2017,75636.0
90255,2018,75560.0
90255,2019,75019.0
90255,2020,74390.0
90255,2021,72488.0
90255,2022,71654.0
90255,2023,70363.0
90255,2024,69349.0
90260,2013,35508.0
90260,2014,35854.0
90260,2015,35866.0
90260,2016,35569.0
90260,2017,35614.0
90260,2018,35161.0
90260,2019,34827.0
90260,2020,34540.0
90260,2021,33794.0
90260,2022,33282.0
90260,2023,32379.0
90260,2024,32075.0
90262,2013,70137.0
90262,2014,70650.0
90262,2015,71163.0
90262,2016,71197.0
90262,2017,71306.0
90262,2018,70936.0
90262,2019,70536.0
90262,2020,69369.0
90262,2021,67210.0
90262,2022,66073.0
90262,2023,64918.0
90262,2024,64235.0
90263,2013,1899.0
90263,2014,1987.0
90263,2015,1832.0
90263,2016,1887.0
90263,2017,1868.0
90263,2018,1846.0
90263,2019,1838.0
90263,2020,1813.0
90263,2021,1913.0
90263,2022,1803.0
90263,2023,1895.0
90263,2024,1856.0
90265,2013,17630.0
90265,2014,17660.0
90265,2015,18258.0
90265,2016,18394.0
90265,2017,18119.0
90265,2018,18389.0
90265,2019,17954.0
90265,2020,18028.0
90265,2021,16868.0
90265,2022,16652.0
90265,2023,15914.0
90265,2024,15918.0
90266,2013,35324.0
90266,2014,35534.0
90266,2015,35603.0
90266,2016,35573.0
90266,2017,35698.0
90266,2018,35573.0
90266,2019,35500.0
90266,2020,35064.0
90266,2021,35585.0
90266,2022,35123.0
90266,2023,34584.0
90266,2024,34210.0
90270,2013,27527.0
90270,2014,27663.0
90270,2015,27700.0
90270,2016,27575.0
90270,2017,27597.0
90270,2018,27454.0
90270,2019,27287.0
90270,2020,27127.0
90270,2021,25415.0
90270,2022,24950.0
90270,2023,24522.0
90270,2024,24218.0
90272,2013,22779.0
90272,2014,23497.0
90272,2015,23934.0
90272,2016,23151.0
90272,2017,22927.0
90272,2018,22551.0
90272,2019,21629.0
90272,2020,21848.0
90272,2021,21282.0
90272,2022,21298.0
90272,2023,21438.0
90272,2024,21390.0
90274,2013,25339.0
90274,2014,25482.0
90274,2015,25778.0
90274,2016,25503.0
90274,2017,25374.0
90274,2018,25279.0
90274,2019,25061.0
90274,2020,24541.0
90274,2021,24890.0
90274,2022,24942.0
90274,2023,24988.0
90274,2024,25059.0
90275,2013,42051.0
90275,2014,42420.0
90275,2015,42593.0
90275,2016,42545.0
90275,2017,42606.0
90275,2018,42421.0
90275,2019,42146.0
90275,2020,41731.0
90275,2021,42417.0
90275,2022,41941.0
90275,2023,41367.0
90275,2024,40945.0
90277,2013,34635.0
90277,2014,34546.0
90277,2015,35178.0
90277,2016,35204.0
90277,2017,34922.0
90277,2018,34506.0
90277,2019,34827.0
90277,2020,34494.0
90277,2021,36409.0
90277,2022,36339.0
90277,2023,35391.0
90277,2024,34844.0
90278,2013,40574.0
90278,2014,40839.0
90278,2015,40485.0
90278,2016,40582.0
90278,2017,40808.0
90278,2018,40649.0
90278,2019,40252.0
90278,2020,40090.0
90278,2021,42841.0
90278,2022,42536.0
90278,2023,42536.0
90278,2024,42423.0
90280,2013,95000.0
90280,2014,95515.0
90280,2015,95350.0
90280,2016,95219.0
90280,2017,95420.0
90280,2018,95103.0
90280,2019,94642.0
90280,2020,94905.0
90280,2021,93207.0
90280,2022,92262.0
90280,2023,91719.0
90280,2024,91365.0
